X,Y,OBJECTID,SENSOR_UNIQUE_ID,GPSX,GPSY,MTYPE,SENSOR_STATUS,PMZ,PMZ2,ADDRESS_SPACE,TOOLTIP,NLA_URL
-118.258838290356,34.0326941322313,7960,CB2068,-118.258826,34.032689,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2068\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7960
-118.258549429654,34.0330505226241,7961,CB2061,-118.258537,34.033046,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2061\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7961
-118.258584227324,34.0330071332178,7962,CB2062,-118.258572,34.033002,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2062\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7962
-118.258320642533,34.0333340132558,7963,CB2059,-118.258309,34.033329,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2059\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7963
-118.2582353956,34.0334406401,7964,CB2057,-118.258223,34.033436,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2057\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7964
-118.258349150099,34.0332972780409,7965,CB2060,-118.258337,34.033292,IPS,3,CB,CB2,1401 S MAPLE AVE,Address Space: 1401 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2060\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7965
-118.258157502636,34.0332602853187,7966,CB2075,-118.258145,34.033255,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2075\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7966
-118.258205627455,34.0331997528898,7967,CB2074,-118.258193,34.033195,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2074\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7967
-118.258290159977,34.0330946845372,7968,CB2072,-118.258278,34.03309,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2072\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7968
-118.258238128591,34.0331595085218,7969,CB2073,-118.258226,34.033155,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2073\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7969
-118.258121486004,34.0333042397623,7970,CB2076,-118.258109,34.033299,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2076\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7970
-118.258325603672,34.0330525072823,7971,CB2071,-118.258313,34.033048,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2071\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7971
-118.258373039035,34.032991104483,7972,CB2070,-118.258361,34.032986,IPS,3,CB,CB2,1400 S MAPLE AVE,Address Space: 1400 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2070\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7972
-118.257949091201,34.0335192966223,7973,CB2077,-118.257937,34.033514,IPS,3,CB,CB2,1300 S MAPLE AVE,Address Space: 1300 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2077\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7973
-118.25789631681,34.0335807250843,7974,CB2078,-118.257884,34.033576,IPS,3,CB,CB2,1300 S MAPLE AVE,Address Space: 1300 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2078\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7974
-118.257861795189,34.0336242813873,7975,CB2079,-118.25785,34.033619,IPS,3,CB,CB2,1300 S MAPLE AVE,Address Space: 1300 S MAPLE AVE\nType: IPS’\nAs of: 06/17/2015\nID: CB2079\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7975
